joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:16
joao|2025-09-01|19:26:17
joao|2025-09-01|19:26:17
joao|2025-09-01|19:26:17
joao|2025-09-01|19:26:17
joao|2025-09-01|19:26:17
joao|2025-09-01|19:26:18
joao|2025-09-01|19:26:18
joao|2025-09-01|19:26:18
joao|2025-09-01|19:26:18
joao|2025-09-01|19:26:18
maria|2025-09-01|19:27:57
maria|2025-09-01|19:27:57
maria|2025-09-01|19:27:58
maria|2025-09-01|19:27:58
maria|2025-09-01|19:27:58
maria|2025-09-01|19:27:58
maria|2025-09-01|19:27:59
maria|2025-09-01|19:27:59
maria|2025-09-01|19:27:59
maria|2025-09-01|19:27:59
maria|2025-09-01|19:27:59
maria|2025-09-01|19:27:59
maria|2025-09-01|19:28:00
maria|2025-09-01|19:28:00
maria|2025-09-01|19:28:00
maria|2025-09-01|19:28:00
maria|2025-09-01|19:28:00
